code,display_name,city,raw_name
FRM00007110,Brest-Guipavas,Brest-Guipavas,BREST-GUIPAVAS
FRM00007145,Trappes (Trappes),Trappes,TRAPPES
FRM00007510,Bordeaux Merignac,Bordeaux Merignac,BORDEAUX MERIGNAC
FRM00007645,Nimes-Courbessac,Nimes-Courbessac,NIMES-COURBESSAC
FRM00007761,Ajaccio,Ajaccio,AJACCIO
FSM00061998,Port-Aux-Francais,Port-Aux-Francais,PORT-AUX-FRANCAIS
GBM00064500,Libreville,Libreville,LIBREVILLE
GLM00004202,Pituffik,Pituffik,PITUFFIK
GLM00004220,Aasiaat,Aasiaat,AASIAAT
GLM00004270,Mittarfik Narsarsuaq,Mittarfik Narsarsuaq,MITTARFIK NARSARSUAQ
GLM00004320,Danmarkshavn,Danmarkshavn,DANMARKSHAVN
GLM00004339,Ittoqqortoormiit,Ittoqqortoormiit,ITTOQQORTOORMIIT
GLM00004360,Tasiilaq,Tasiilaq,TASIILAQ
GLM00004417,Geosummit,Geosummit,GEOSUMMIT
GMM00010035,Schleswig,Schleswig,SCHLESWIG
GMM00010113,Norderney,Norderney,NORDERNEY
GMM00010184,Greifswald,Greifswald,GREIFSWALD
GMM00010238,Bergen,Bergen,BERGEN
GMM00010304,Meppen,Meppen,MEPPEN
GMM00010393,Lindenberg,Lindenberg,LINDENBERG
GMM00010410,Essen (Aerology),Essen (Aerology),ESSEN (AEROLOGY)
GMM00010548,Meiningen,Meiningen,MEININGEN
GMM00010618,Idar-Oberstein,Idar-Oberstein,IDAR-OBERSTEIN
GMM00010739,Stuttgart (Aerology),Stuttgart (Aerology),STUTTGART (AEROLOGY)
GMM00010771,Kuemmersbruck,Kuemmersbruck,KUEMMERSBRUCK
GMM00010868,Oberschleii Heim (Aerology),Oberschleii Heim (Aerology),OBERSCHLEII HEIM (AEROLOGY)
GMM00010954,Altenstadt,Altenstadt,ALTENSTADT
GMM00010962,Hohenpeissenberg,Hohenpeissenberg,HOHENPEISSENBERG
GPM00078897,Le Raizet Aero,Le Raizet Aero,LE RAIZET AERO
GQM00091212,Weather Forecast Office; Gu,Weather Forecast Office; Gu,WEATHER FORECAST OFFICE; GU
GRM00016622,Thessaloniki (Airport) (Thessaloniki (Airport)),Thessaloniki (Airport),THESSALONIKI (AIRPORT)
GRM00016716,Athinai Hellinikon,Athinai Hellinikon,ATHINAI HELLINIKON
GRM00016754,Herakleion (Airport) (Herakleion (Airport)),Herakleion (Airport),HERAKLEION (AIRPORT)
HKM00045004,Kowloon (45004-0),Kowloon (45004-0),KOWLOON (45004-0)
HRM00014240,Zagreb,Zagreb,ZAGREB/MAKSIMIR
HRM00014430,Zadar Rs,Zadar Rs,ZADAR RS
HUM00012843,Budapest (Budapest/Pestszentlorinc),Budapest,BUDAPEST/PESTSZENTLORINC
HUM00012982,Szeged,Szeged,SZEGED
,,,
ICM00004089,Egilsstadir,Egilsstadir,EGILSSTADIR
IDM00096009,Lhokseumawe,Lhokseumawe,LHOKSEUMAWE/MALIKUSSALEH
IDM00096011,Banda Aceh,Banda Aceh,BANDA ACEH/BLANG BINTANG
IDM00096015,Meulaboh,Meulaboh,MEULABOH/CUT NYAK DHIEN
IDM00096035,Kualanamu Medan,Kualanamu Medan,KUALANAMU MEDAN
IDM00096073,Sibolga,Sibolga,SIBOLGA/PINANGSORI
IDM00096075,Gunung Sitoli,Gunung Sitoli,GUNUNG SITOLI/BINAKA
IDM00096091,Tanjung Pinang,Tanjung Pinang,TANJUNG PINANG/KIJANG
IDM00096109,Pekan Baru,Pekan Baru,PEKAN BARU/SIMPANGTIGA
IDM00096145,Tarempa,Tarempa,TAREMPA
IDM00096147,Ranai,Ranai,RANAI
IDM00096163,Mia Padang,Mia Padang,MIA PADANG
IDM00096171,Rengat (Rengat/Japura),Rengat,RENGAT/JAPURA
IDM00096179,Singkep,Singkep,SINGKEP/DABO
IDM00096195,Jambi,Jambi,JAMBI/SULTAN TAHA
IDM00096207,Kerinci,Kerinci,KERINCI/DEPATI PARBO
IDM00096221,Palembang,Palembang,PALEMBANG/ST. M. BADARUDIN
IDM00096237,Pangkal Pinang,Pangkal Pinang,PANGKAL PINANG
IDM00096249,Tanjung Pandan,Tanjung Pandan,TANJUNG PANDAN/BULUH TUMBAN
IDM00096253,Bengkulu,Bengkulu,BENGKULU/PADANG KEMILING
IDM00096295,Tanjung Karang,Tanjung Karang,TANJUNG KARANG/RADIN INTEN
IDM00096509,Tarakan,Tarakan,TARAKAN/JUWATA
IDM00096529,Tanjung Redep,Tanjung Redep,TANJUNG REDEP/KALIMARAU
IDM00096535,Paloh,Paloh,PALOH
